hmm_island,n,fraction
11:64355587-64355697,2,0.03225806451612903
14:61620680-61620750,2,0.03225806451612903
6:148911154-148911229,2,0.03225806451612903
10:133795908-133795961,2,0.03225806451612903
12:124066461-124066676,1,0.016129032258064516
14:23114755-23116767,1,0.016129032258064516
11:68758066-68758128,1,0.016129032258064516
7:2576174-2576500,1,0.016129032258064516
7:2934769-2935086,1,0.016129032258064516
19:2201561-2205121,1,0.016129032258064516
21:36998579-36999842,1,0.016129032258064516
8:1815777-1815981,1,0.016129032258064516
1:37286017-37286093,1,0.016129032258064516
7:156490542-156492088,1,0.016129032258064516
16:84179617-84179823,1,0.016129032258064516
8:690659-690738,1,0.016129032258064516
14:77517027-77517502,1,0.016129032258064516
18:10579022-10579386,1,0.016129032258064516
1:3564564-3565010,1,0.016129032258064516
1:178048380-178048640,1,0.016129032258064516
12:107745704-107745760,1,0.016129032258064516
13:111863075-111863170,1,0.016129032258064516
12:115406648-115406701,1,0.016129032258064516
5:177809436-177809537,1,0.016129032258064516
2:95341800-95342319,1,0.016129032258064516
16:84175890-84176214,1,0.016129032258064516
5:2919802-2920005,1,0.016129032258064516
21:36990064-36994369,1,0.016129032258064516
10:106330150-106330265,1,0.016129032258064516
2:11040927-11041068,1,0.016129032258064516
12:131423186-131423361,1,0.016129032258064516
13:109650508-109650594,1,0.016129032258064516
5:2920312-2920370,1,0.016129032258064516
16:83641065-83641166,1,0.016129032258064516
13:111037215-111037370,1,0.016129032258064516
10:11908152-11908207,1,0.016129032258064516
14:94249445-94249486,1,0.016129032258064516
19:3236338-3237178,1,0.016129032258064516
1:45226930-45227012,1,0.016129032258064516
2:176735945-176736245,1,0.016129032258064516
17:69769759-69769827,1,0.016129032258064516
5:1415604-1415757,1,0.016129032258064516
16:1056624-1056975,1,0.016129032258064516
20:61185393-61187580,1,0.016129032258064516
13:112684552-112685111,1,0.016129032258064516
13:111150180-111150322,1,0.016129032258064516
11:50085984-50086328,1,0.016129032258064516
3:53520418-53520619,1,0.016129032258064516
2:176735140-176735772,1,0.016129032258064516
16:83498315-83498673,1,0.016129032258064516
5:1031278-1031406,1,0.016129032258064516
10:395078-395398,1,0.016129032258064516
7:156488661-156488773,1,0.016129032258064516
11:31784148-31784497,1,0.016129032258064516
2:176734221-176734265,1,0.016129032258064516
16:1111554-1111646,1,0.016129032258064516
15:38151816-38152291,1,0.016129032258064516
21:33272648-33273291,1,0.016129032258064516
