chromosome_clean,direction,n
1,higher_in_a,11
1,lower_in_a,4
10,higher_in_a,12
11,higher_in_a,12
11,lower_in_a,2
12,higher_in_a,7
12,lower_in_a,2
13,higher_in_a,2
14,higher_in_a,3
14,lower_in_a,1
15,higher_in_a,2
15,lower_in_a,5
16,higher_in_a,4
16,lower_in_a,1
17,higher_in_a,7
17,lower_in_a,1
18,higher_in_a,1
19,higher_in_a,7
19,lower_in_a,1
2,higher_in_a,7
2,lower_in_a,3
20,higher_in_a,1
21,lower_in_a,11
3,higher_in_a,3
3,lower_in_a,5
4,higher_in_a,18
4,lower_in_a,4
5,higher_in_a,16
5,lower_in_a,2
6,higher_in_a,14
7,higher_in_a,21
7,lower_in_a,2
8,higher_in_a,6
9,higher_in_a,2
