direction,hmm_island,n,fraction_within_direction
higher_in_a,13:109650508-109650594,2,0.0425531914893617
higher_in_a,14:61620680-61620750,2,0.0425531914893617
higher_in_a,10:131521799-131521841,1,0.02127659574468085
higher_in_a,10:133098868-133098975,1,0.02127659574468085
higher_in_a,10:1840229-1840433,1,0.02127659574468085
higher_in_a,10:395078-395398,1,0.02127659574468085
higher_in_a,10:76691848-76691887,1,0.02127659574468085
higher_in_a,11:49871589-49871936,1,0.02127659574468085
higher_in_a,11:50085984-50086328,1,0.02127659574468085
higher_in_a,11:64355587-64355697,1,0.02127659574468085
higher_in_a,12:107128073-107128158,1,0.02127659574468085
higher_in_a,13:111037215-111037370,1,0.02127659574468085
higher_in_a,13:112684552-112685111,1,0.02127659574468085
higher_in_a,16:1056624-1056975,1,0.02127659574468085
higher_in_a,16:4043135-4043227,1,0.02127659574468085
higher_in_a,16:68526403-68527120,1,0.02127659574468085
higher_in_a,16:83498315-83498673,1,0.02127659574468085
higher_in_a,16:83641065-83641166,1,0.02127659574468085
higher_in_a,16:84175890-84176214,1,0.02127659574468085
higher_in_a,17:693204-693404,1,0.02127659574468085
higher_in_a,17:75574387-75574422,1,0.02127659574468085
higher_in_a,1:147336314-147336514,1,0.02127659574468085
higher_in_a,1:3564564-3565010,1,0.02127659574468085
higher_in_a,1:6094242-6094472,1,0.02127659574468085
higher_in_a,2:1265379-1265649,1,0.02127659574468085
higher_in_a,2:1405623-1405932,1,0.02127659574468085
higher_in_a,2:235601098-235601341,1,0.02127659574468085
higher_in_a,2:242516922-242517081,1,0.02127659574468085
higher_in_a,5:1031278-1031406,1,0.02127659574468085
higher_in_a,5:112566977-112567149,1,0.02127659574468085
higher_in_a,5:1415604-1415757,1,0.02127659574468085
higher_in_a,5:2919239-2919768,1,0.02127659574468085
higher_in_a,5:2919802-2920005,1,0.02127659574468085
higher_in_a,5:2920312-2920370,1,0.02127659574468085
higher_in_a,6:148911154-148911229,1,0.02127659574468085
higher_in_a,6:168160402-168160614,1,0.02127659574468085
higher_in_a,7:157087339-157087423,1,0.02127659574468085
higher_in_a,7:158492476-158492551,1,0.02127659574468085
higher_in_a,7:1927128-1927342,1,0.02127659574468085
higher_in_a,7:2389949-2389997,1,0.02127659574468085
higher_in_a,8:1947838-1947874,1,0.02127659574468085
higher_in_a,8:1992805-1993238,1,0.02127659574468085
higher_in_a,8:2165606-2165694,1,0.02127659574468085
higher_in_a,8:690659-690738,1,0.02127659574468085
higher_in_a,9:97261614-97261897,1,0.02127659574468085
lower_in_a,21:36998579-36999842,5,0.20833333333333334
lower_in_a,2:176735140-176735772,2,0.08333333333333333
lower_in_a,11:31784148-31784497,1,0.041666666666666664
lower_in_a,12:113320862-113321262,1,0.041666666666666664
lower_in_a,14:23114755-23116767,1,0.041666666666666664
lower_in_a,14:77517027-77517502,1,0.041666666666666664
lower_in_a,15:74419573-74421330,1,0.041666666666666664
lower_in_a,15:74421363-74421637,1,0.041666666666666664
lower_in_a,19:2201561-2205121,1,0.041666666666666664
lower_in_a,1:91072778-91072881,1,0.041666666666666664
lower_in_a,21:36988500-36988972,1,0.041666666666666664
lower_in_a,21:36990064-36994369,1,0.041666666666666664
lower_in_a,21:37001812-37002971,1,0.041666666666666664
lower_in_a,21:37003057-37003703,1,0.041666666666666664
lower_in_a,21:37004483-37004670,1,0.041666666666666664
lower_in_a,2:176734221-176734265,1,0.041666666666666664
lower_in_a,2:176735945-176736245,1,0.041666666666666664
lower_in_a,4:13150426-13151027,1,0.041666666666666664
lower_in_a,7:156490542-156492088,1,0.041666666666666664
