direction,gene_token,n,weighted_sum
higher_in_a,NR3C1,7,2.0813186322995527
higher_in_a,TPO,4,0.939482121001168
higher_in_a,HGF,5,0.914705097940144
higher_in_a,BTNL8,6,0.7320194394569634
higher_in_a,SLC8A3,4,0.6828961534553696
higher_in_a,PHACTR2,4,0.682344016469006
higher_in_a,FHIT,2,0.632665938164502
higher_in_a,ANXA2,4,0.584239669156852
higher_in_a,GRIN2A,3,0.5758320930406167
higher_in_a,POM121L12,3,0.5392644109723941
higher_in_a,PTPRN2,3,0.5184464744863166
higher_in_a,CSN1S1,2,0.496324964202033
higher_in_a,MIDN,2,0.4867093415011794
higher_in_a,NELL1,2,0.475917618621465
higher_in_a,DIP2C,2,0.4721861886749712
higher_in_a,MAD1L1,3,0.462424228101186
higher_in_a,CYP4B1,2,0.45292035904571
higher_in_a,KIRREL3,2,0.449846511673862
higher_in_a,PNMAL1,2,0.4432725402654508
higher_in_a,AGAP3,2,0.4281234191471846
higher_in_a,WWP2,2,0.427969222732299
higher_in_a,HLA-DRB1,1,0.4248750520922145
higher_in_a,CPVL,2,0.4159720903050508
higher_in_a,ANXA7,2,0.410678886550384
higher_in_a,SMOC2,2,0.38212715858707
higher_in_a,SLC22A18,2,0.38157946116359
higher_in_a,LIPE,2,0.372523872686668
higher_in_a,MEGF6,1,0.3243495448126935
higher_in_a,CDC42BPG,1,0.310842485942932
higher_in_a,SLC1A6,2,0.2928009729158275
higher_in_a,KIF25,2,0.277764132030276
higher_in_a,PPBPL2,2,0.2770406181833624
higher_in_a,ZACN,1,0.2742797270103905
higher_in_a,SH3BP4,1,0.2696104105284
higher_in_a,TSGA13,1,0.267269261588408
higher_in_a,HLA-A,1,0.2650801203668509
higher_in_a,IKZF1,1,0.2576512774485274
higher_in_a,PROX1,1,0.254939043626026
higher_in_a,S100A14,1,0.2543459451300615
higher_in_a,OR2W1,1,0.252324119027578
higher_in_a,KCND2,2,0.2499126156225442
higher_in_a,SULT1E1,1,0.248067958341865
higher_in_a,SYT16,1,0.242547991764815
higher_in_a,NPR3,1,0.2399952680429194
higher_in_a,SLC6A18,1,0.2365350603640219
higher_in_a,OR10K2,1,0.235088259465896
higher_in_a,BTNL3,1,0.234533989410179
higher_in_a,OR52E4,1,0.2306497304733625
higher_in_a,ANKH,1,0.2278855503196649
higher_in_a,SPRR2C,1,0.2274112328544459
higher_in_a,CHD5,1,0.223697320073546
higher_in_a,PLEKHA6,1,0.206143502128498
higher_in_a,FPR3,1,0.2056512187411014
higher_in_a,CSN2,1,0.1997701639917525
higher_in_a,PLAC1L,1,0.1956418005368749
higher_in_a,PLD6,1,0.195073583977368
higher_in_a,SLC22A18AS,1,0.190789730581795
higher_in_a,COL4A1,1,0.1904597005030369
higher_in_a,CYP2C9,1,0.1877671779481196
higher_in_a,DPYSL3,1,0.1835993090305485
higher_in_a,HEATR7B2,1,0.180777330510707
higher_in_a,ZC3H12D,1,0.172098673629439
higher_in_a,C7orf10,1,0.170507362976339
higher_in_a,NTM,1,0.1672732443251354
higher_in_a,OR51B6,1,0.165979348667901
higher_in_a,MYOM2,1,0.164569206739084
higher_in_a,MYO3A,1,0.1608670980721895
higher_in_a,SH3PXD2B,1,0.1533258554115659
higher_in_a,OBP2A,1,0.1498440767289824
higher_in_a,NEU2,1,0.1457941210750595
higher_in_a,MCC,2,0.145401090577211
higher_in_a,ZPLD1,1,0.145100143539001
higher_in_a,FRK,1,0.1444283099218799
higher_in_a,C9orf130,1,0.1423109778404424
higher_in_a,GABRA4,1,0.138937113050733
higher_in_a,WSCD2,1,0.135459848662006
higher_in_a,MYADML2,1,0.128473723564245
higher_in_a,SPRED2,1,0.1215970287774019
higher_in_a,COX7B2,1,0.1159126146380734
higher_in_a,LOC100130872,1,0.1159091004110309
higher_in_a,LOC100130872-SPON2,1,0.1159091004110309
higher_in_a,ZW10,1,0.105137648060078
higher_in_a,ADARB2,1,0.1015453652229935
higher_in_a,HRNBP3,1,0.100931381209636
higher_in_a,ARPP-21,1,0.086602606294636
higher_in_a,LOC154822,1,0.079217261613452
lower_in_a,SIM2,20,5.154868586918544
lower_in_a,MAPT,6,1.1028877126925754
lower_in_a,ISL2,4,0.831119040832178
lower_in_a,PPARG,3,0.7701496721629649
lower_in_a,PAX6,3,0.7410413911253265
lower_in_a,IRF6,3,0.6510864268673725
lower_in_a,SBNO2,2,0.4086164152737058
lower_in_a,WDR69,1,0.3152396619286329
lower_in_a,JPH4,2,0.311999077696686
lower_in_a,PITX1,1,0.2731747537046394
lower_in_a,HAND2,1,0.2604419109784785
lower_in_a,NBLA00301,1,0.2604419109784785
lower_in_a,HOXA9,1,0.211025312177551
lower_in_a,ARPM1,1,0.204482892580595
lower_in_a,MIXL1,1,0.1977356813971512
lower_in_a,TXNRD1,1,0.1938268158284739
lower_in_a,LOC100128977,1,0.1838146187820959
lower_in_a,LOC100130148,1,0.1838146187820959
lower_in_a,WIT1,1,0.1628547950425565
lower_in_a,LOC646999,1,0.154685883485674
