refgene_group,n,fraction
Body,26,0.4262295081967213
Body;Body,9,0.14754098360655737
5'UTR,5,0.08196721311475409
3'UTR,4,0.06557377049180328
TSS1500,4,0.06557377049180328
1stExon,3,0.04918032786885246
5'UTR;5'UTR,2,0.03278688524590164
TSS1500;TSS1500;TSS1500,2,0.03278688524590164
Body;Body;Body;Body;Body;Body;Body,1,0.01639344262295082
TSS200,1,0.01639344262295082
1stExon;5'UTR,1,0.01639344262295082
Body;Body;Body,1,0.01639344262295082
Body;Body;Body;Body,1,0.01639344262295082
3'UTR;3'UTR,1,0.01639344262295082
