gene_symbol,n_lists_present,present_in_lists,mean_rank_across_present_lists,corr_H,corr_S,corr_M,corr_R,strongest_coordinate
SLCO4A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,4.333333333333333,0.4082882430429903,-0.4283546401204254,0.5224022012395815,-0.5552587838519351,R
MARCKSL1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,6.333333333333333,0.3867774078531525,-0.2807153280262138,0.4472544846949016,-0.4636580214947381,R
LGALS3BP,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,7.666666666666667,0.4233690967540734,-0.3537119945457099,0.4993687533594,-0.490802868525705,M
ABR,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,9.666666666666666,0.4729784563582719,-0.2357163783605539,0.5366168891739983,-0.41962986746658,M
GALNT10,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,12.0,0.3960680439170296,-0.2185467950005634,0.5024063337554387,-0.4057278488412901,M
COL6A1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,12.333333333333334,0.4885605349057987,-0.5190189451486169,0.6663417076407839,-0.5710188470355363,M
GSN,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,15.666666666666666,0.4051862193550862,-0.3616220529206594,0.5079544310989744,-0.3823443684101986,M
FN1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,16.333333333333332,0.3995067117530611,-0.3593449356418686,0.5019361537236788,-0.4873867955031409,M
ABCC3,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,17.0,0.3852637954622768,-0.274206827219397,0.4439994624254499,-0.4328683582260605,M
DDX17,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,22.0,0.4220975324904528,-0.1269437008715535,0.4463908349828038,-0.4006551499934861,M
TMEM131,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,25.0,0.3857229020975137,-0.2857010920640733,0.3923997982435289,-0.401777843457021,R
MAGI1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,31.0,0.3343957448128452,-0.2996089444266192,0.4133782650117491,-0.3954261376070965,M
ESYT2,3,negative_R;unstable_committed_malignant;PKH26_High_vs_G1,33.666666666666664,0.4342878514753407,-0.2495302227504574,0.4025553316171587,-0.4190472531508589,H
GALNT5,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,34.333333333333336,0.2339611982030447,-0.3262375671421926,0.3417501670562497,-0.3996696764559848,R
NET1,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,35.0,0.3294788310349616,-0.0526742786197357,0.3590507088665167,-0.3682145170959398,R
ARL4C,3,negative_R;malignant_reservoir;PKH26_High_vs_G1,41.0,0.3809929099051943,-0.1123521467766462,0.3822156389890448,-0.3659021442258215,M
