gene,corr_H,corr_S,corr_M,corr_R
CASC8,-0.35860139934043983,0.5663807974126631,-0.6734688932913914,0.4710293929225951
MPP4,-0.27194866271620455,0.5574754778176881,-0.5548648875531283,0.41462909129170156
FBP1,-0.2320378374231107,0.5277669434040667,-0.543510509069182,0.4160549101098506
ADAMTS6,-0.25797170468605596,0.5106241841604672,-0.49988810092022407,0.3104504515862208
ANKRD1,-0.21726310806897026,0.5002252209998107,-0.4580348607268393,0.26083430981432787
MT-ND4L,-0.049844115953085764,0.48566899851838374,-0.3898779954327971,0.2854034477200893
RIMS2,-0.2858160403075584,0.4785174200688987,-0.5232185734709544,0.3664926982915319
GADD45B,-0.24487655831817512,0.4769120301566029,-0.5329345732002855,0.44629332836233027
NANP,-0.04981807598451947,0.4676571733856903,-0.2851738316414459,0.1891050829111825
SORD,-0.010350817297799311,0.46508036258651514,-0.36023406726368473,0.16455275472549669
ENSG00000239467,-0.08459819088026127,0.46322836298502323,-0.3006708608491452,0.3036934415276847
AOX1,-0.16809059297018833,0.46280728038886787,-0.45926419838733157,0.3132905310814762
SORD2P,-0.04957779076842235,0.46155566129002135,-0.35701837116920304,0.21723978979445852
ENSG00000267279,-0.2288756648617071,0.45871912034486245,-0.43358246475778706,0.3497726769912853
AMOTL2,-0.13728626879262487,0.45483280748727734,-0.34206862521750286,0.22544042733536146
RPLP0P9,0.0886678592047456,0.4545463153193721,-0.4588558091887738,0.3338752970375294
STK32C,-0.05609058659944516,0.45296859377299925,-0.13332900712372356,0.16064941108490327
RPS24P16,-0.3112395734571002,0.45026748027812863,-0.47021864921710865,0.34528965048546845
SFTA1P,-0.2397586073721928,0.4456176250997725,-0.4575656303145634,0.36603978086137057
CDC20,0.004870683669513535,0.43886410236717915,-0.3581560444176584,0.25480505795557673
TFRC,-0.08810952601446695,0.4375811366788846,-0.3109535455448158,0.2826656668456149
RPS13,0.18878228624101126,0.4374563596624894,-0.35055819865855714,0.3807836273162393
RPS21,0.09039907705005043,0.4368879858037965,-0.4513851555856303,0.40364792869917876
RPL27,0.18526450258442975,0.4334851750506819,-0.404680807876621,0.2931584559481402
DKK1,-0.12170514127704515,0.4326824283592592,-0.34786604660884707,0.31465247343334096
YOD1,-0.08276483524439444,0.432019311135191,-0.31069885493454363,0.192451502692055
SNAPC1,-0.15835647414654272,0.430044280854989,-0.4528737809161768,0.37235056590036547
PLD6,-0.06205804005737235,0.4270549181059294,-0.2739853498370355,0.24008763050755583
HUS1,0.03915736144032189,0.4258967809081595,-0.18020158351574303,0.15739113321830978
RPS13P2,0.1926860243600967,0.4228682586642008,-0.33005029058451507,0.35345325844322145
NME2P1,0.17420563054818192,0.42176908510390676,-0.2832449462832614,0.25497880652342647
PHLDB2,-0.12820659978196483,0.42162035151426946,-0.3077806424185602,0.3288592027027007
MT-ND4,0.1474039385651738,0.41967158609880323,-0.2700763193166814,0.1529038031423545
LURAP1L-AS1,-0.0964084378767643,0.4192298981482369,-0.2870668416743336,0.27228997476916206
RPL29P4,0.377089054299166,0.4187343002384826,-0.13857067479952362,0.17302043545814186
ENSG00000239809,0.019621488925747308,0.41703818427016154,-0.196471880119002,0.21250070364904772
DLC1,-0.13998582645179003,0.4157772612149687,-0.29848538245147893,0.2115735033110118
RFESDP1,-0.1095818017617553,0.41446257148177545,-0.31112242951579033,0.23102867114903233
ENSG00000213560,-0.0732460324342258,0.4140499210874693,-0.3475710126009606,0.22558942239394564
TOX,-0.04503209988826278,0.41157195352707515,-0.30297221466062935,0.08716520751577266
HSP90AA2P,0.3832606047625482,0.40946635350833,0.030696975967527563,0.10869013551806285
ZNF433-AS1,-0.07261894537092588,0.40873338947126864,-0.3693999771593531,0.32691039289440993
RPS15A,0.06072996566077785,0.4082736064938378,-0.41263990787024935,0.3081221224102092
RPLP0,0.17425484422650728,0.4078095358975535,-0.4683573693055321,0.31446628138604377
RPL24P8,0.14238143727679312,0.4073529091406265,-0.3504899772812604,0.3134283014083372
PIGL,0.017753334420573533,0.4055599791902001,-0.26930308210944387,0.2526805271929457
CDC20P1,-0.008014100116303886,0.40354572470346783,-0.36394786950002717,0.20183344231502132
ZNF143,-0.08823124674935148,0.4034805033143427,-0.33052759620995187,0.25411194791141267
C16ORF74,-0.07919949840099963,0.40306691878783213,-0.30085104425104603,0.26619478311418
WHAMM,0.17781782834808202,0.3991090542572174,-0.13740295352626167,0.06991685459846365
